alert_id,timestamp,source_ip,destination_ip,label,severity,mitre_tactic,mitre_technique,mitre_conf,shap_feat_1,shap_val_1,shap_feat_2,shap_val_2,shap_feat_3,shap_val_3,shap_feat_4,shap_val_4,shap_feat_5,shap_val_5
1,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,4.5209,Bwd Packet Length Max,2.7945,Total Length of Fwd Packets,-0.7125,Fwd IAT Total,-0.6875,Flow IAT Std,-0.6693
2,2026-07-27 10:00:00,172.16.0.13,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,2.5495,Destination Port,1.2015,Flow Duration,-0.6743,Bwd Packet Length Min,-0.5058,Fwd Packet Length Std,-0.4664
3,2026-07-27 10:00:00,172.16.0.4,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.853,Destination Port,-0.5224,Flow Packets/s,0.4551,Total Length of Fwd Packets,0.3889,Flow IAT Min,-0.3317
4,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Destination Port,0.1591,Total Length of Bwd Packets,-0.1188,Flow Bytes/s,0.1144,Fwd Packet Length Std,-0.1094,Flow Packets/s,-0.0885
5,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,1.474,Fwd IAT Mean,-0.8454,Flow IAT Mean,0.6742,Total Length of Bwd Packets,-0.5388,Flow IAT Max,-0.4594
6,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.0643,Destination Port,-0.5338,Flow IAT Max,-0.5052,Fwd Packet Length Std,-0.4251,Bwd Packet Length Min,0.3933
7,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,5.1662,Bwd Packet Length Max,2.2419,Flow IAT Min,-1.0121,Total Fwd Packets,-0.8207,Total Length of Fwd Packets,-0.7844
8,2026-07-27 10:00:00,172.16.0.68,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,6.9519,Fwd Packet Length Max,1.362,Total Fwd Packets,-1.1811,Bwd Packet Length Mean,-0.866,Fwd IAT Mean,-0.8022
9,2026-07-27 10:00:00,172.16.0.84,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,4.2621,Fwd Packet Length Max,0.9417,Destination Port,0.8181,Bwd Packet Length Std,-0.6766,Bwd Packet Length Mean,-0.5883
10,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,1.6395,Bwd Packet Length Min,-0.7366,Flow Packets/s,-0.5691,Total Length of Bwd Packets,0.5403,Flow IAT Mean,0.5143
11,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Bwd Packet Length Max,0.1052,Total Fwd Packets,-0.1039,Fwd IAT Mean,-0.1018,Flow IAT Std,0.0862,Flow IAT Min,0.0704
12,2026-07-27 10:00:00,172.16.0.75,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.1716,Destination Port,-0.4102,Fwd Packet Length Std,-0.3551,Flow Packets/s,-0.3312,Flow IAT Mean,-0.2623
13,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.0323,Flow IAT Std,-0.6685,Total Length of Bwd Packets,-0.4812,Fwd IAT Mean,0.4626,Fwd Packet Length Min,-0.3681
14,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.5631,Flow IAT Mean,0.6656,Total Length of Fwd Packets,-0.4011,Flow IAT Max,0.3763,Fwd Packet Length Min,-0.3674
15,2026-07-27 10:00:00,172.16.0.72,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,1.9439,Destination Port,1.3883,Bwd Packet Length Max,-0.598,Total Length of Bwd Packets,-0.5073,Flow Duration,-0.48
16,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.1727,Destination Port,-0.8816,Fwd Packet Length Std,-0.4715,Fwd IAT Total,0.4358,Flow Packets/s,-0.4302
17,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,50.0,Fwd Packet Length Std,0.1311,Fwd Packet Length Min,-0.107,Destination Port,0.0902,Flow Packets/s,-0.0874,Flow IAT Max,-0.0732
18,2026-07-27 10:00:00,172.16.0.70,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.2364,Fwd Packet Length Max,3.0692,Flow Packets/s,-1.0621,Fwd Packet Length Std,-1.0008,Fwd Packet Length Min,-0.9056
19,2026-07-27 10:00:00,172.16.0.88,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.6438,Flow Duration,-0.47,Flow Bytes/s,-0.4457,Flow IAT Mean,0.4213,Destination Port,-0.4129
20,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,4.3121,Flow IAT Std,-0.7329,Flow IAT Min,-0.6961,Fwd Packet Length Max,-0.6611,Bwd Packet Length Mean,-0.4179
21,2026-07-27 10:00:00,172.16.0.58,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Fwd IAT Mean,0.5471,Bwd Packet Length Std,0.5158,Bwd Packet Length Mean,-0.5096,Destination Port,-0.508,Fwd Packet Length Max,-0.4487
22,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.7859,Fwd IAT Mean,-0.7688,Bwd Packet Length Std,-0.5803,Flow IAT Max,0.5202,Total Backward Packets,-0.4335
23,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,72.0,Flow Bytes/s,0.1206,Flow IAT Max,-0.1175,Total Fwd Packets,0.1105,Total Length of Bwd Packets,-0.093,Fwd Packet Length Mean,0.0702
24,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.2563,Bwd Packet Length Min,-0.9449,Bwd Packet Length Max,-0.6529,Flow IAT Max,-0.5959,Destination Port,-0.4999
25,2026-07-27 10:00:00,172.16.0.9,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,5.7636,Fwd Packet Length Max,2.6333,Bwd Packet Length Max,-1.0496,Flow IAT Max,-0.8282,Bwd Packet Length Min,-0.7012
26,2026-07-27 10:00:00,172.16.0.67,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.024,Destination Port,-0.573,Bwd Packet Length Min,-0.4656,Fwd Packet Length Min,0.4446,Total Fwd Packets,0.3631
27,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,7.5404,Bwd Packet Length Max,3.3626,Fwd Packet Length Min,-1.0756,Fwd Packet Length Max,-0.9896,Fwd Packet Length Std,-0.811
28,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,3.714,Flow Packets/s,-1.0385,Total Length of Fwd Packets,-0.93,Flow IAT Std,-0.6277,Fwd IAT Total,0.6198
29,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.3043,Fwd Packet Length Min,-0.8611,Flow IAT Max,-0.8082,Flow Packets/s,-0.6152,Flow IAT Mean,0.6054
30,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,4.5431,Fwd IAT Total,3.282,Total Backward Packets,-0.8996,Flow Packets/s,-0.8823,Flow Bytes/s,0.8562
31,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.8537,Fwd Packet Length Mean,-1.0256,Total Length of Fwd Packets,-0.6531,Bwd Packet Length Std,-0.5062,Flow Bytes/s,0.3647
32,2026-07-27 10:00:00,172.16.0.61,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,4.0429,Fwd Packet Length Max,1.9274,Flow Duration,-0.7989,Destination Port,0.7236,Bwd Packet Length Min,-0.5992
33,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.6313,Destination Port,-0.9056,Fwd Packet Length Max,0.8036,Fwd IAT Total,-0.7657,Total Length of Bwd Packets,-0.6988
34,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,42.0,Total Backward Packets,-0.131,Flow Duration,0.1223,Flow IAT Min,0.1172,Fwd Packet Length Max,0.0717,Fwd Packet Length Std,0.0677
35,2026-07-27 10:00:00,172.16.0.27,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,3.9291,Fwd Packet Length Max,3.0027,Fwd Packet Length Min,-0.9143,Total Backward Packets,-0.7581,Destination Port,0.6852
36,2026-07-27 10:00:00,172.16.0.39,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.6832,Fwd Packet Length Max,2.4651,Fwd Packet Length Min,-0.9793,Total Fwd Packets,-0.9784,Fwd IAT Total,-0.8753
37,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,72.0,Total Length of Fwd Packets,-0.1263,Bwd Packet Length Mean,-0.1143,Fwd IAT Mean,0.0917,Total Backward Packets,0.0874,Flow Duration,-0.0801
38,2026-07-27 10:00:00,172.16.0.27,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,3.7673,Fwd Packet Length Max,2.5239,Bwd Packet Length Max,-0.9108,Fwd Packet Length Std,-0.7847,Destination Port,0.7733
39,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.1804,Destination Port,-1.0372,Flow Packets/s,-0.8875,Flow IAT Mean,0.7785,Fwd Packet Length Max,0.6011
40,2026-07-27 10:00:00,172.16.0.91,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,3.8985,Fwd Packet Length Max,2.3409,Flow Duration,-1.1287,Destination Port,0.8352,Fwd IAT Total,-0.7567
41,2026-07-27 10:00:00,172.16.0.97,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Destination Port,10.2551,Flow Packets/s,1.5523,Flow Duration,-1.0266,Total Fwd Packets,-0.9056,Fwd IAT Mean,-0.7659
42,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,42.0,Flow Duration,0.122,Destination Port,-0.0972,Flow IAT Max,0.0857,Flow IAT Min,0.0767,Flow Packets/s,0.0744
43,2026-07-27 10:00:00,172.16.0.8,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,4.0425,Fwd Packet Length Max,2.8836,Flow Bytes/s,-0.9058,Destination Port,0.7729,Bwd Packet Length Std,-0.7623
44,2026-07-27 10:00:00,172.16.0.51,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.0915,Destination Port,-0.4965,Bwd Packet Length Std,0.3035,Flow Bytes/s,-0.3024,Fwd Packet Length Min,-0.2992
45,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,5.7316,Fwd IAT Total,4.7963,Flow Bytes/s,2.4226,Destination Port,-1.1312,Fwd Packet Length Mean,-0.968
46,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,3.2524,Destination Port,-0.9557,Total Length of Bwd Packets,-0.8293,Flow IAT Min,-0.6679,Flow IAT Mean,0.6333
47,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.1578,Total Backward Packets,0.6321,Flow Bytes/s,-0.6084,Fwd IAT Total,-0.6011,Flow Packets/s,-0.5381
48,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,5.7059,Fwd IAT Total,5.1936,Fwd IAT Mean,-1.3782,Flow Bytes/s,1.2966,Flow IAT Std,-0.996
49,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.4662,Fwd Packet Length Std,-0.6727,Flow Bytes/s,-0.6689,Destination Port,-0.4743,Bwd Packet Length Std,-0.4588
